GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
i-have-adhd tools,io.github.ayghri.adhd.util,PythonSum,0,49,0,4,0,10,0,3,0,1
i-have-adhd tools,io.github.ayghri.adhd.util,ProcResult,0,12,0,0,0,1,0,1,0,1
i-have-adhd tools,io.github.ayghri.adhd.util,PyRuntimeError,5,8,0,0,2,3,1,2,1,2
i-have-adhd tools,io.github.ayghri.adhd.util,PyOsError,0,60,0,6,0,11,0,7,0,4
i-have-adhd tools,io.github.ayghri.adhd.util,Which,82,107,21,17,14,20,14,9,0,4
i-have-adhd tools,io.github.ayghri.adhd.util,PythonFloat,95,190,20,30,18,44,16,14,0,5
i-have-adhd tools,io.github.ayghri.adhd.util,PyAssert,0,16,0,4,0,6,0,4,0,2
i-have-adhd tools,io.github.ayghri.adhd.util,PyKeyError,0,9,0,0,0,3,0,2,0,2
i-have-adhd tools,io.github.ayghri.adhd.util,RepoRoot,26,90,6,12,3,17,5,8,0,4
i-have-adhd tools,io.github.ayghri.adhd.util,PythonFloat.Decomposed,0,9,0,0,0,1,0,1,0,1
i-have-adhd tools,io.github.ayghri.adhd.util,PythonStr,42,109,11,15,5,25,10,6,0,3
i-have-adhd tools,io.github.ayghri.adhd.util,PythonJson,47,346,9,53,7,82,9,34,0,9
i-have-adhd tools,io.github.ayghri.adhd.util,ShlexJoin,0,31,0,4,0,7,0,5,0,3
i-have-adhd tools,io.github.ayghri.adhd.util,PyAssert.PyAssertionError,0,14,0,2,0,3,0,3,0,2
i-have-adhd tools,io.github.ayghri.adhd.util,PyJsonDecodeError,0,84,1,5,0,19,1,11,0,9
i-have-adhd tools,io.github.ayghri.adhd.util,PythonValue,21,113,16,36,4,25,15,16,0,5
i-have-adhd tools,io.github.ayghri.adhd.util,JsonLines,77,255,30,40,16,57,28,14,0,7
i-have-adhd tools,io.github.ayghri.adhd.util,ProcRunner,25,132,2,8,8,33,2,10,0,7
i-have-adhd tools,io.github.ayghri.adhd.util,PyValueError,0,13,0,0,0,5,0,3,0,3
i-have-adhd tools,io.github.ayghri.adhd.pi,IsolatedEnv,0,59,0,6,0,12,0,5,0,2
i-have-adhd tools,io.github.ayghri.adhd.pi,CheckPiExtension,214,584,29,41,54,122,26,27,1,17
i-have-adhd tools,io.github.ayghri.adhd.pi,RpcClient.RpcResponse,0,9,0,0,0,1,0,1,0,1
i-have-adhd tools,io.github.ayghri.adhd.pi,EventHelpers,2,209,7,43,0,37,7,24,0,6
i-have-adhd tools,io.github.ayghri.adhd.pi,ManifestValidator,0,95,2,16,0,19,2,11,0,4
i-have-adhd tools,io.github.ayghri.adhd.pi,CheckPiExtension.CliExit,0,13,0,0,0,4,0,2,0,2
i-have-adhd tools,io.github.ayghri.adhd.pi,RpcClient,56,267,7,17,21,65,7,15,0,10
i-have-adhd tools,io.github.ayghri.adhd.pi,RpcClient.PyTimeoutError,0,8,0,0,0,3,0,2,0,2
i-have-adhd tools,io.github.ayghri.adhd.evals,Cli.HelpRequested,0,9,0,0,0,4,0,2,0,2
i-have-adhd tools,io.github.ayghri.adhd.evals,EvalOptions,0,12,0,0,0,4,0,1,0,1
i-have-adhd tools,io.github.ayghri.adhd.evals,ResponseParser.ParsedResponse,0,33,1,5,0,3,1,5,0,3
i-have-adhd tools,io.github.ayghri.adhd.evals,ScoreSummarizer,55,660,16,48,9,125,16,28,0,12
i-have-adhd tools,io.github.ayghri.adhd.evals,RowKey,11,117,6,10,2,21,6,10,0,8
i-have-adhd tools,io.github.ayghri.adhd.evals,Cli.UsageError,0,16,0,0,0,6,0,3,0,3
i-have-adhd tools,io.github.ayghri.adhd.evals,EvalRunner,109,501,32,60,23,106,28,23,0,5
i-have-adhd tools,io.github.ayghri.adhd.evals,CaseValidator,0,132,3,17,0,29,3,10,0,3
i-have-adhd tools,io.github.ayghri.adhd.evals,CompletedKey,0,81,7,9,0,18,7,3,0,2
i-have-adhd tools,io.github.ayghri.adhd.evals,ResponseParser,10,133,7,23,1,24,7,11,0,2
i-have-adhd tools,io.github.ayghri.adhd.evals,RunEvals,31,392,2,19,11,78,3,16,1,6
i-have-adhd tools,io.github.ayghri.adhd.evals,Cli,35,647,10,80,4,121,10,64,0,26
